Program,Version,Program build date,Command line,Start time,Stop time,Elapsed time (seconds),Status
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z20_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z20_filtered.csv ","Tue Feb 12 10:02:35 2019","Tue Feb 12 10:02:46 2019",11,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z20_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z20_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:02:46 2019","Tue Feb 12 10:02:46 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z20_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z20_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:02:46 2019","Tue Feb 12 10:02:51 2019",5,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z8_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z8_filtered.csv ","Tue Feb 12 10:03:30 2019","Tue Feb 12 10:03:34 2019",4,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z8_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z8_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:03:34 2019","Tue Feb 12 10:03:34 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z8_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z8_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:03:34 2019","Tue Feb 12 10:03:36 2019",2,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z10_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z10_filtered.csv ","Tue Feb 12 10:05:09 2019","Tue Feb 12 10:05:17 2019",8,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z10_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z10_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:05:17 2019","Tue Feb 12 10:05:17 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z10_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z10_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:05:17 2019","Tue Feb 12 10:05:20 2019",3,Success
"CloudMetrics",2.57,"Aug  6 2018 10:53:24"," /outlier:-0.30,2.5 /minht:0.25 E:\Palancia\TLS\9_Normalized_PointClouds\*Z12_filtered_Normalized.las E:\Palancia\TLS\10_CloudMetrics\Z12_filtered.csv ","Tue Feb 12 10:05:51 2019","Tue Feb 12 10:05:57 2019",6,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\UAV_Clip_Z12_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\UAV_Clip_Z12_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:05:57 2019","Tue Feb 12 10:05:57 2019",0,Success
"ClipData",2.66,"Aug  6 2018 10:55:49"," /zmin:0.4 E:\Palancia\TLS\9_Normalized_PointClouds\Z12_filtered_Normalized.las E:\Palancia\TLS\11_Perimeter\Z12_filtered_Normalized_perimeter.las  0 0 9999999 9999999","Tue Feb 12 10:05:57 2019","Tue Feb 12 10:05:59 2019",2,Success
